Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]","GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]","Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]","Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],People using at least basic sanitation services (% of population) [SH.STA.BASS.ZS],"Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]",Poverty gap at $2.15 a day (2017 PPP) (%) [SI.POV.GAPS],Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],Access to electricity (% of population) [EG.ELC.ACCS.ZS],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],CPIA gender equality rating (1=low to 6=high) [IQ.CPA.GNDR.XQ],Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS],"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]"
1963,YR1963,Middle East & North Africa,MEA,113518054,..,..,19.727297840747,46.8963120866572,7.03431621638146,46.9078689647552,..,..,..,..,..,..,..,..,..,..
1963,YR1963,North America,NAC,208253700,..,..,9.43605083426991,21.9641403225652,3.34544663956805,70.0489507157528,..,..,..,..,..,..,..,..,..,..
1963,YR1963,South Asia,SAS,613149540,..,..,19.1130128779889,42.9058898163733,6.1199292384074,46.1149251854662,..,..,..,..,..,..,..,..,..,..
1963,YR1963,Sub-Saharan Africa,SSF,245298063,..,..,22.4184895924141,47.5917097583606,6.66196135104634,42.4406202612887,..,..,..,..,..,..,..,..,..,..
1963,YR1963,World,WLD,3193428894,..,..,13.4591750359526,36.27460978714,5.32342829673039,55.5423406052209,..,..,..,..,..,..,..,..,..,..
1964,YR1964,East Asia & Pacific,EAS,1110819272,..,..,11.5610347937737,37.5327000610766,5.87461838195026,54.50712280855,..,..,..,..,..,..,..,..,..,..
1964,YR1964,Europe & Central Asia,ECS,697559598,..,..,9.74094801704721,20.3931405543516,2.78728849351881,68.4809460659443,..,..,..,..,..,..,..,..,..,..
1964,YR1964,Latin America & Caribbean,LCN,244742056,..,..,12.0068488258815,40.5388985754893,5.76270773530651,57.0733658816551,..,..,..,..,..,..,..,..,..,..
1964,YR1964,Middle East & North Africa,MEA,116624655,..,..,19.1632275795371,46.4799427113075,7.00937297807649,47.5855612595477,..,..,..,..,..,..,..,..,..,..
1964,YR1964,North America,NAC,211262900,..,..,9.2261597242607,21.3104382285265,3.21459686200912,70.3125865277974,..,..,..,..,..,..,..,..,..,..
1964,YR1964,South Asia,SAS,627867470,..,..,18.7970430614489,42.69962873282,6.12632293338781,46.5055915876976,..,..,..,..,..,..,..,..,..,..
1964,YR1964,Sub-Saharan Africa,SSF,251565974,..,..,22.0593299993473,47.589214974713,6.67633567758622,42.8908377269423,..,..,..,..,..,..,..,..,..,..
1964,YR1964,World,WLD,3260441925,..,..,13.5293199464491,35.1318016444451,5.14142044439158,56.0348753375692,..,..,..,..,..,..,..,..,..,..
1965,YR1965,East Asia & Pacific,EAS,1136927045,..,..,10.6749705116841,36.6259914483855,5.82692812588354,54.4690551951289,..,..,..,..,..,..,..,..,..,..
1965,YR1965,Europe & Central Asia,ECS,705233118,..,..,9.91709209244783,19.6828454366984,2.74307495031505,68.4657832438817,..,..,..,..,..,..,..,..,..,..
1965,YR1965,Latin America & Caribbean,LCN,251458185,..,..,11.7232018190509,39.8546867270075,5.68456025092684,57.4708383402291,..,..,..,..,..,..,..,..,..,..
1965,YR1965,Middle East & North Africa,MEA,119831991,..,..,18.6462895346786,46.0186122965444,6.97292504574265,48.1975181930748,..,..,..,..,..,..,..,..,..,..
1965,YR1965,North America,NAC,214031100,..,..,9.23446941550885,19.574726728074,2.93190527386376,70.3664761754079,..,..,..,..,..,..,..,..,..,..
1965,YR1965,South Asia,SAS,642649029,..,..,19.4552556383432,42.3358715762301,6.09301245399098,45.5817101243127,..,..,..,..,..,..,..,..,..,..
1965,YR1965,Sub-Saharan Africa,SSF,258078554,..,..,21.9445025125619,47.5840699704966,6.69041045249897,43.0294512913119,..,..,..,..,..,..,..,..,..,..
1965,YR1965,World,WLD,3328209022,..,..,13.3573309695155,34.4742143353548,5.09354060704565,55.8606333052899,..,..,..,..,..,..,..,..,..,..
1966,YR1966,East Asia & Pacific,EAS,1166227679,..,..,9.80146416490435,34.2418715294983,5.57170819381395,55.5440127654411,..,..,..,..,..,..,..,..,..,..
1966,YR1966,Europe & Central Asia,ECS,712077088,..,..,9.84945349881527,19.2196663163701,2.70860517685862,68.6531296067362,..,..,..,..,..,..,..,..,..,..
1966,YR1966,Latin America & Caribbean,LCN,258225265,..,..,11.4390615670583,39.1574690945611,5.59596614900764,57.8861181105356,..,..,..,..,..,..,..,..,..,..
1966,YR1966,Middle East & North Africa,MEA,123155200,..,..,18.1865692309785,45.67902201756,6.94276923880299,49.2249659382363,..,..,..,..,..,..,..,..,..,..
1966,YR1966,North America,NAC,216659000,..,..,9.31439358623459,18.4837265010916,2.72365509101684,70.3764340035747,..,..,..,..,..,..,..,..,..,..
1966,YR1966,South Asia,SAS,657382046,..,..,19.0066418410992,41.9392615553148,6.04317655954112,46.1519470409495,..,..,..,..,..,..,..,..,..,..
1966,YR1966,Sub-Saharan Africa,SSF,264754002,..,..,22.0024019902465,47.5914637654313,6.70682764022068,42.9840900521411,..,..,..,..,..,..,..,..,..,..
1966,YR1966,World,WLD,3398480280,..,..,12.9398886352077,33.4068942482028,4.97745610236851,56.3897434722828,..,..,..,..,..,..,..,..,..,..
1967,YR1967,East Asia & Pacific,EAS,1194567141,..,..,9.33483586010478,33.8384652635114,5.32275037733406,56.3700810539931,..,..,..,..,..,..,..,..,..,..
1967,YR1967,Europe & Central Asia,ECS,718884137,..,..,9.91992255015029,19.0532266223657,2.70906953388937,68.6631308980436,..,..,..,..,..,..,..,..,..,..
1967,YR1967,Latin America & Caribbean,LCN,265030167,..,..,11.168450600353,38.4165119262028,5.49456173706073,58.2729562292188,..,..,..,..,..,..,..,..,..,..
1967,YR1967,Middle East & North Africa,MEA,126678043,..,..,17.7315316583001,45.2808292662447,6.91020299289809,49.699264935943,..,..,..,..,..,..,..,..,..,..
1967,YR1967,North America,NAC,219176000,..,..,9.21369452912506,17.837261094175,2.5551959275006,70.7138232038936,..,..,..,..,..,..,..,..,..,..
1967,YR1967,South Asia,SAS,672401853,..,..,18.703697294695,41.666865198569,6.00157870386224,46.5582784519007,..,..,..,..,..,..,..,..,..,..
1967,YR1967,Sub-Saharan Africa,SSF,271633185,..,..,21.7920687531405,47.5805893032021,6.72232332975658,43.2321783317863,..,..,..,..,..,..,..,..,..,..
